Rz,¦Ñ,r,n,s,l,b,h1,h2,"fc,new","fc,old",fy,¦Òn,¦Ó
0.5,0,0,0,0,150,150,75,75,41.015,40.675,336,0.007,1.865
0.5,0,0,0,0,150,150,75,75,41.015,40.675,336,0.012,2.354
4,0,0,0,0,150,150,75,75,41.015,40.675,336,0,1.435
4,0,0,0,0,150,150,75,75,41.015,40.675,336,0.007,1.955
4,0,0,0,0,150,150,75,75,41.015,40.675,336,0.012,2.535
6,0,0,0,0,150,150,75,75,41.015,40.675,336,0,1.603
6,0,0,0,0,150,150,75,75,41.015,40.675,336,0.007,2.144
6,0,0,0,0,150,150,75,75,41.015,40.675,336,0.012,2.841
8,0,0,0,0,150,150,75,75,41.015,40.675,336,0,1.966
8,0,0,0,0,150,150,75,75,41.015,40.675,336,0.007,2.456
8,0,0,0,0,150,150,75,75,41.015,40.675,336,0.012,2.99
0.5,0,6,0,50,150,150,75,75,25.084,40.675,336,0,1.085
0.5,0.2512,6,2,50,150,150,75,75,25.084,40.675,336,0,1.875
0.5,0.5024,6,4,50,150,150,75,75,25.084,40.675,336,0,2.172
0.5,0.7536,6,6,50,150,150,75,75,25.084,40.675,336,0,2.3413
0.5,0,6,0,50,150,150,75,75,25.084,40.675,336,0.007,1.632
0.5,0.2512,6,2,50,150,150,75,75,25.084,40.675,336,0.007,2.245
0.5,0.5024,6,4,50,150,150,75,75,25.084,40.675,336,0.007,2.432
0.5,0.7536,6,6,50,150,150,75,75,25.084,40.675,336,0.007,2.654
0.5,0,6,0,50,150,150,75,75,25.084,40.675,336,0.012,2.158
0.5,0.2512,6,2,50,150,150,75,75,25.084,40.675,336,0.012,2.789
0.5,0.5024,6,4,50,150,150,75,75,25.084,40.675,336,0.012,2.945
0.5,0.7536,6,6,50,150,150,75,75,25.084,40.675,336,0.012,3.033
0.5,0,6,0,50,150,150,75,75,29.948,40.675,336,0,1.107
0.5,0.2512,6,2,50,150,150,75,75,29.948,40.675,336,0,1.968
0.5,0.5024,6,4,50,150,150,75,75,29.948,40.675,336,0,2.371
0.5,0.7536,6,6,50,150,150,75,75,29.948,40.675,336,0,2.425
0.5,0,6,0,50,150,150,75,75,29.948,40.675,336,0.007,1.814
0.5,0.2512,6,2,50,150,150,75,75,29.948,40.675,336,0.007,2.412
0.5,0.5024,6,4,50,150,150,75,75,29.948,40.675,336,0.007,2.635
0.5,0.7536,6,6,50,150,150,75,75,29.948,40.675,336,0.007,2.987
0.5,0,6,0,50,150,150,75,75,29.948,40.675,336,0.012,2.296
0.5,0.2512,6,2,50,150,150,75,75,29.948,40.675,336,0.012,3.216
0.5,0.5024,6,4,50,150,150,75,75,29.948,40.675,336,0.012,3.471
0.5,0.7536,6,6,50,150,150,75,75,29.948,40.675,336,0.012,3.923
0.5,0,6,0,50,150,150,75,75,41.015,40.675,336,0,1.24
0.5,0.2512,6,2,50,150,150,75,75,41.015,40.675,336,0,2.214
0.5,0.5024,6,4,50,150,150,75,75,41.015,40.675,336,0,2.511
0.5,0.7536,6,6,50,150,150,75,75,41.015,40.675,336,0,2.573
0.5,0,6,0,50,150,150,75,75,41.015,40.675,336,0.007,1.865
0.5,0.2512,6,2,50,150,150,75,75,41.015,40.675,336,0.007,2.762
0.5,0.5024,6,4,50,150,150,75,75,41.015,40.675,336,0.007,2.87
0.5,0.7536,6,6,50,150,150,75,75,41.015,40.675,336,0.007,3.454
0.5,0,6,0,50,150,150,75,75,41.015,40.675,336,0.012,2.354
0.5,0.2512,6,2,50,150,150,75,75,41.015,40.675,336,0.012,3.356
0.5,0.5024,6,4,50,150,150,75,75,41.015,40.675,336,0.012,3.807
0.5,0.7536,6,6,50,150,150,75,75,41.015,40.675,336,0.012,4.483
6.4,0.8,8,6,150,250,150,170,170,65.83,40.77,360,0,6.442666667
6.4,0.8,8,6,150,250,150,170,170,65.83,40.77,360,0,6.088
6.4,1.2,10,6,150,250,150,170,170,65.83,40.77,360,0,9.682666667
6.4,1.2,10,6,150,250,150,170,170,65.83,40.77,360,0,9.304
6.4,1.8,12,6,150,250,150,170,170,65.83,40.77,360,0,9.728
6.4,1.8,12,6,150,250,150,170,170,65.83,40.77,360,0,8.896
6.4,0.8,8,6,150,250,150,170,170,65.83,42.06,360,0,6.053333333
6.4,0.8,8,6,150,250,150,170,170,65.83,42.06,360,0,6.106666667
6.4,1.2,10,6,150,250,150,170,170,65.83,42.06,360,0,9.624
6.4,1.2,10,6,150,250,150,170,170,65.83,42.06,360,0,9.421333333
6.4,1.8,12,6,150,250,150,170,170,65.83,42.06,360,0,9.578666667
6.4,1.8,12,6,150,250,150,170,170,65.83,42.06,360,0,10.34666667
6.4,0.8,8,6,150,250,150,170,170,65.83,38.32,360,0,6.048
6.4,0.8,8,6,150,250,150,170,170,65.83,38.32,360,0,5.589333333
6.4,1.2,10,6,150,250,150,170,170,65.83,38.32,360,0,7.781333333
6.4,1.2,10,6,150,250,150,170,170,65.83,38.32,360,0,7.618666667
6.4,1.8,12,6,150,250,150,170,170,65.83,38.32,360,0,8.944
6.4,1.8,12,6,150,250,150,170,170,65.83,38.32,360,0,8.733333333
5.91,0,0,0,0,150,150,150,150,34.6,41.5,0,0,2.67
5.92,0.502,12,1,120,150,150,150,150,34.6,41.5,440.18,0,3.5
6.01,0.502,12,1,120,150,150,150,150,34.6,41.5,440.18,0,3.7
5.87,0.502,12,1,120,150,150,150,150,34.6,41.5,440.18,0,3.6
5.72,0.171,7,1,70,150,150,150,150,27.2,24.5,564.07,0,1.75
6.03,0.348,10,1,100,150,150,150,150,27.2,24.5,420.22,0,2.41
5.79,0.502,12,1,120,150,150,150,150,27.2,24.5,440.18,0,3.04
5.85,0.684,14,1,140,150,150,150,150,27.2,24.5,383.76,0,4.13
5.96,0.684,14,1,140,150,150,150,150,27.2,24.5,383.76,0,4.13
6.06,0.893,16,1,145,150,150,150,150,27.2,24.5,375.45,0,4.54
5.88,0.171,7,1,70,150,150,150,150,37.7,39.7,564.07,0,2.27
5.92,0.348,10,1,100,150,150,150,150,37.7,39.7,420.22,0,2.37
5.78,0.502,12,1,120,150,150,150,150,37.7,39.7,440.18,0,2.98
5.84,0.684,14,1,140,150,150,150,150,37.7,39.7,383.76,0,4.13
5.88,0.684,14,1,140,150,150,150,150,37.7,39.7,383.76,0,4.13
5.81,0.893,16,1,145,150,150,150,150,37.7,39.7,375.45,0,4.37
5.76,0,0,0,0,150,150,150,150,44.6,47.6,0,0,2.94
5.89,0,0,0,0,150,150,150,150,44.6,47.6,0,0,3.41
5.78,0.502,12,1,120,150,150,150,150,44.6,47.6,440.18,0,4.42
6.01,0.502,12,1,120,150,150,150,150,44.6,47.6,440.18,0,4.43
6.12,0.684,14,1,140,150,150,150,150,44.6,47.6,383.76,0,4.36
5.89,0.684,14,1,140,150,150,150,150,44.6,47.6,383.76,0,4.36
6.11,0.893,16,1,145,150,150,150,150,44.6,47.6,375.45,0,4.82
5.67,0.171,7,1,70,150,150,150,150,50.2,51.9,564.07,0,2.02
5.78,0.171,7,1,70,150,150,150,150,50.2,51.9,564.07,0,2.02
5.65,0.348,14,1,140,150,150,150,150,50.2,51.9,420.22,0,2.29
5.81,0.502,12,1,120,150,150,150,150,50.2,51.9,440.18,0,4.4
6.11,0.684,14,1,140,150,150,150,150,50.2,51.9,383.76,0,4.5
5.59,0.893,16,1,145,150,150,150,150,50.2,51.9,375.45,0,4.71
0,0,0,0,0,97.02,100,150,75,26.7,25,0,0,0.75
0,0,0,0,0,105.84,100,150,75,26.7,25,0,0,0.76
1.59,0,0,0,0,98,100,150,75,26.7,25,0,0,1.08
1.26,0,0,0,0,102,100,150,75,26.7,25,0,0,0.91
1.75,0,0,0,0,109,100,150,75,26.7,25,0,0,1.04
2.84,0,0,0,0,90.24,100,150,75,26.7,25,0,0,1.4
3.39,0,0,0,0,94.88,100,150,75,26.7,25,0,0,1.53
0,0,0,0,0,97.76,100,150,75,33.07,25,0,0,0.88
0,0,0,0,0,95.06,100,150,75,33.07,25,0,0,0.72
0,0,0,0,0,101,100,150,75,33.07,25,0,0,0.75
1.25,0,0,0,0,102,100,150,75,33.07,25,0,0,1.32
1.18,0,0,0,0,89.18,100,150,75,33.07,25,0,0,1.14
1.94,0,0,0,0,92,100,150,75,33.07,25,0,0,1.79
2.2,0,0,0,0,102.9,100,150,75,33.07,25,0,0,1.14
2.25,0,0,0,0,105,100,150,75,33.07,25,0,0,1.79
0,0,0,0,0,103.02,100,150,75,36.43,25,0,0,0.74
0,0,0,0,0,101.92,100,150,75,36.43,25,0,0,1.02
0,0,0,0,0,104,100,150,75,36.43,25,0,0,0.86
1.43,0,0,0,0,101.97,100,150,75,36.43,25,0,0,1.2
1.36,0,0,0,0,96,100,150,75,36.43,25,0,0,1.04
1.47,0,0,0,0,96.9,100,150,75,36.43,25,0,0,1.47
1.88,0,0,0,0,100.444,100,150,75,36.43,25,0,0,1.96
4.21,0,0,0,0,93,100,150,75,36.43,25,0,0,2.44
2.03,0,0,0,0,101.85,100,150,75,36.43,25,0,0,1.52
3,0,0,0,0,400,200,200,200,40,30,0,0,1.5
3,0,0,0,0,400,200,200,200,40,30,0,0,1.625
3,0.34,8,6,80,400,200,200,200,40,30,300,0,2
3,0.34,8,6,80,400,200,200,200,40,30,300,0,1.875
3,0.54,10,6,100,400,200,200,200,40,30,300,0,2
3,0.54,10,6,100,400,200,200,200,40,30,300,0,1.75
3,0.77,12,6,120,400,200,200,200,40,30,300,0,3.625
3,0.77,12,6,120,400,200,200,200,40,30,300,0,3.125
3,0.34,8,6,80,400,200,200,200,40,30,300,0,2.125
3,0.34,8,6,80,400,200,200,200,40,30,300,0,1.625
3,0.54,10,6,100,400,200,200,200,40,30,300,0,2.125
3,0.54,10,6,100,400,200,200,200,40,30,300,0,2
3,0.77,12,6,120,400,200,200,200,40,30,300,0,3.5
3,0.77,12,6,120,400,200,200,200,40,30,300,0,3.625
1.378,0,0,0,0,150,150,75,75,36.6,24.8,0,-0.22,2.9
1.333,0,0,0,0,150,150,75,75,43.13,24.8,0,-0.22,1.41
1.333,0,0,0,0,150,150,75,75,43.13,24.8,0,-0.22,2.41
1.333,0,0,0,0,150,150,75,75,43.13,24.8,0,-0.22,1.58
1.422,0,0,0,0,150,150,75,75,43.13,24.8,0,-0.44,1.34
1.378,0,0,0,0,150,150,75,75,43.13,24.8,0,-0.44,2.44
1.378,0,0,0,0,150,150,75,75,43.13,24.8,0,-0.44,1.96
1.422,0,0,0,0,150,150,75,75,43.13,24.8,0,-0.44,1.06
1.067,0,0,0,0,150,150,75,75,50,24.8,0,-0.88,1.3
1.022,0,0,0,0,150,150,75,75,50,24.8,0,-0.88,2.17
1.022,0,0,0,0,150,150,75,75,50,24.8,0,-0.88,2.31
1.022,0,0,0,0,150,150,75,75,50,24.8,0,-0.88,0.96
0.978,0,0,0,0,150,150,75,75,50,24.8,0,-0.88,1.38
0.978,0,0,0,0,150,150,75,75,50,24.8,0,-1.33,1.15
1.022,0,0,0,0,150,150,75,75,43.04,24.8,0,-1.33,0.41
0.978,0,0,0,0,150,150,75,75,43.04,24.8,0,-1.33,0.91
0.933,0,0,0,0,150,150,75,75,43.04,24.8,0,-1.56,0.36
0.933,0,0,0,0,150,150,75,75,43.04,24.8,0,-1.56,0.61
0.889,0,0,0,0,150,150,75,75,38.6,24.8,0,2,6.2
1.067,0,0,0,0,150,150,75,75,38.6,24.8,0,2,6.53
0.933,0,0,0,0,150,150,75,75,38.6,24.8,0,2,5.56
0.8,0,0,0,0,150,150,75,75,48.4,24.8,0,2,5.6
1.156,0,0,0,0,150,150,75,75,38.6,24.8,0,3.78,6.73
1.2,0,0,0,0,150,150,75,75,38.6,24.8,0,3.78,7.91
1.111,0,0,0,0,150,150,75,75,38.6,24.8,0,3.78,7.71
1.244,0,0,0,0,150,150,75,75,38.6,24.8,0,3.78,7.29
2.044,0,0,0,0,150,150,75,75,36.6,24.8,0,-0.22,2.76
2.133,0,0,0,0,150,150,75,75,36.6,24.8,0,-0.22,1.9
2.044,0,0,0,0,150,150,75,75,43.13,24.8,0,-0.22,1.86
2.089,0,0,0,0,150,150,75,75,36.6,24.8,0,-0.22,1.41
2.089,0,0,0,0,150,150,75,75,43.13,24.8,0,-0.44,1.2
2.133,0,0,0,0,150,150,75,75,43.13,24.8,0,-0.44,1.88
2.133,0,0,0,0,150,150,75,75,43.13,24.8,0,-0.44,1.51
2.133,0,0,0,0,150,150,75,75,43.13,24.8,0,-0.44,1.61
2.533,0,0,0,0,150,150,75,75,44.7,24.8,0,2,5.78
2.222,0,0,0,0,150,150,75,75,44.7,24.8,0,2,6.99
2.356,0,0,0,0,150,150,75,75,44.7,24.8,0,2,6.75
2,0,0,0,0,150,150,75,75,38.6,24.8,0,3.78,7.39
2,0,0,0,0,150,150,75,75,38.6,24.8,0,3.78,7.45
2,0,0,0,0,150,150,75,75,38.6,24.8,0,3.78,7.2
3.022,0,0,0,0,150,150,75,75,50,24.8,0,-0.88,2.08
2.978,0,0,0,0,150,150,75,75,50,24.8,0,-0.88,1.27
2.933,0,0,0,0,150,150,75,75,50,24.8,0,-0.88,1.84
2.933,0,0,0,0,150,150,75,75,50,24.8,0,-0.88,2.56
3.022,0,0,0,0,150,150,75,75,50,24.8,0,-1.33,1.3
